NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OAS2	0	12.394874572753906	0.055477247	Yes	
row_1	MX1	1	12.382448196411133	0.110898875	Yes	
row_2	ISG15	7	11.569695472717285	0.16237734	Yes	
row_3	OAS1	8	11.539039611816406	0.21402404	Yes	
row_4	OAS3	9	11.408218383789062	0.2650852	Yes	
row_5	IFIT1	12	11.253605842590332	0.31533214	Yes	
row_6	STAT1	23	10.348186492919922	0.36103794	Yes	
row_7	MX2	28	10.014175415039062	0.40561527	Yes	
row_8	UBE2L6	35	9.714856147766113	0.44873074	Yes	
row_9	RIGI	39	9.433432579040527	0.49076983	Yes	
row_10	USP18	41	9.393589973449707	0.5327528	Yes	
row_11	OASL	46	9.092021942138672	0.5732027	Yes	
row_12	EIF2AK2	47	9.040067672729492	0.61366445	Yes	
row_13	HERC5	56	8.402950286865234	0.65078586	Yes	
row_14	TRIM25	60	7.909668922424316	0.68600494	Yes	
row_15	ADAR	65	7.65090274810791	0.7200047	Yes	
row_16	UBA7	73	7.3492279052734375	0.7524709	Yes	
row_17	HSPA1A	342	2.3255083560943604	0.7465091	Yes	
row_18	SPHK1	407	2.071368455886841	0.75187075	Yes	
row_19	SNCA	411	2.0545573234558105	0.76088333	Yes	
row_20	FLNB	515	1.7956960201263428	0.762629	Yes	
row_21	HSPA1B	602	1.6408045291900635	0.7647197	Yes	
row_22	FLNA	1024	1.171740174293518	0.74424803	No	
row_23	NCK1	1309	0.9794707894325256	0.7312842	No	
row_24	FANCG	1461	0.9025233387947083	0.7261001	No	
row_25	HSPA8	1656	0.8254132270812988	0.71794426	No	
row_26	DUS2	1972	0.7289846539497375	0.70196575	No	
row_27	KPNA2	2130	0.6870704293251038	0.69545084	No	
row_28	NUP35	2261	0.6539838910102844	0.6904371	No	
row_29	UBC	2331	0.6360067129135132	0.689069	No	
row_30	FANCA	2352	0.6317180395126343	0.6906747	No	
row_31	RNASEL	2478	0.6029703617095947	0.6857381	No	
row_32	DNAJC3	2731	0.5465682744979858	0.67279136	No	
row_33	PDE12	2830	0.5267876386642456	0.6691629	No	
row_34	MAP2K6	2949	0.5019080638885498	0.66420156	No	
row_35	HSPA2	3367	0.4329764246940613	0.6406676	No	
row_36	STAT3	3504	0.41015204787254333	0.634196	No	
row_37	IKBKG	3556	0.4025937616825104	0.63288265	No	
row_38	NUP153	3557	0.40230730175971985	0.6346833	No	
row_39	FAAP100	3608	0.3939145803451538	0.6333922	No	
row_40	HSPA1L	3869	0.35832303762435913	0.6191143	No	
row_41	NUP43	4137	0.32536306977272034	0.6042612	No	
row_42	TPR	4167	0.3214288651943207	0.60392845	No	
row_43	AAAS	4189	0.31881892681121826	0.6040727	No	
row_44	IRF3	4310	0.3042961657047272	0.5981046	No	
row_45	FAAP20	4402	0.29339343309402466	0.5938592	No	
row_46	MAPK3	4624	0.26570332050323486	0.5815489	No	
row_47	FANCB	4877	0.23790109157562256	0.5672207	No	
row_48	NEDD4	5052	0.21978259086608887	0.5575758	No	
row_49	EIF4G1	5161	0.20947113633155823	0.55191636	No	
row_50	NUP37	5642	0.16741368174552917	0.52334553	No	
row_51	SEC13	5959	0.13704288005828857	0.5046565	No	
row_52	PIN1	6303	0.10988237708806992	0.4841966	No	
row_53	RANBP2	6350	0.10688070207834244	0.48186514	No	
row_54	CHUK	6605	0.08724643290042877	0.4667404	No	
row_55	NUP62	6650	0.08368518948554993	0.4644273	No	
row_56	EIF4G3	6694	0.08077588677406311	0.46216223	No	
row_57	NUP133	6698	0.08014428615570068	0.46233767	No	
row_58	PPP2CB	6761	0.07670989632606506	0.45889384	No	
row_59	NUP205	7113	0.05297394096851349	0.4376906	No	
row_60	EIF4A3	7207	0.04578852280974388	0.43221477	No	
row_61	NUP188	7254	0.042365845292806625	0.42959452	No	
row_62	NDC1	7501	0.02732572890818119	0.41469026	No	
row_63	PLCG1	7593	0.021657606586813927	0.4092286	No	
row_64	EIF4A2	8206	-0.0025177395436912775	0.3718567	No	
row_65	UBB	8214	-0.0030798474326729774	0.37144288	No	
row_66	EIF2S1	8509	-0.019168276339769363	0.3535701	No	
row_67	NUP42	8695	-0.03159130737185478	0.342411	No	
row_68	UBA52	8797	-0.03751051053404808	0.33640945	No	
row_69	IKBKB	9018	-0.051516205072402954	0.32320166	No	
row_70	JAK1	9152	-0.060047995299100876	0.3153463	No	
row_71	FANCE	9266	-0.06753045320510864	0.3087461	No	
row_72	BECN1	9472	-0.08163972944021225	0.29658934	No	
row_73	PPM1B	9501	-0.0835462436079979	0.29525295	No	
row_74	KPNA1	9672	-0.09588921070098877	0.28529793	No	
row_75	TARBP2	9822	-0.10541874170303345	0.27666828	No	
row_76	NUP160	10035	-0.12284515798091888	0.2642684	No	
row_77	ILF3	10162	-0.13213716447353363	0.2571633	No	
