NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MX1	1	12.382448196411133	0.022082144	Yes	
row_1	IFI44L	2	12.20003890991211	0.043899007	Yes	
row_2	IFI44	4	12.02082633972168	0.06533448	Yes	
row_3	IFI27	6	11.661871910095215	0.08612804	Yes	
row_4	ISG15	7	11.569695472717285	0.106817685	Yes	
row_5	OAS1	8	11.539039611816406	0.12745251	Yes	
row_6	IFITM1	11	11.304014205932617	0.14754522	Yes	
row_7	EPSTI1	13	11.081948280334473	0.16730173	Yes	
row_8	BST2	14	11.059621810913086	0.18707922	Yes	
row_9	HELZ2	15	10.946876525878906	0.20665511	Yes	
row_10	IFIT3	16	10.923203468322754	0.22618866	Yes	
row_11	IRF9	17	10.880812644958496	0.2456464	Yes	
row_12	IRF7	18	10.759765625	0.2648877	Yes	
row_13	RSAD2	19	10.74921989440918	0.2841101	Yes	
row_14	IFI35	20	10.436535835266113	0.30277336	Yes	
row_15	DHX58	21	10.414158821105957	0.3213966	Yes	
row_16	CMPK2	22	10.373311996459961	0.3399468	Yes	
row_17	IFIH1	25	10.169872283935547	0.35801136	Yes	
row_18	TRIM14	26	10.135416030883789	0.37613615	Yes	
row_19	HERC6	27	10.114457130432129	0.39422345	Yes	
row_20	LY6E	29	10.000020980834961	0.41204518	Yes	
row_21	CXCL11	31	9.774428367614746	0.4294635	Yes	
row_22	PLSCR1	32	9.754230499267578	0.44690663	Yes	
row_23	UBE2L6	35	9.714856147766113	0.4641575	Yes	
row_24	SAMD9L	36	9.673852920532227	0.48145688	Yes	
row_25	USP18	41	9.393589973449707	0.4980114	Yes	
row_26	IFIT2	43	9.235150337219238	0.51446533	Yes	
row_27	TAP1	45	9.100299835205078	0.53067815	Yes	
row_28	OASL	46	9.092021942138672	0.5469371	Yes	
row_29	EIF2AK2	47	9.040067672729492	0.5631031	Yes	
row_30	SAMD9	49	8.77636432647705	0.5787366	Yes	
row_31	PARP14	50	8.692167282104492	0.5942805	Yes	
row_32	HLA-C	51	8.675032615661621	0.6097937	Yes	
row_33	STAT2	53	8.656085014343262	0.62521213	Yes	
row_34	SP110	55	8.557394981384277	0.6404541	Yes	
row_35	IFITM3	58	8.336878776550293	0.6552408	Yes	
row_36	TRIM25	60	7.909668922424316	0.6693244	Yes	
row_37	PARP12	63	7.712634563446045	0.6829948	Yes	
row_38	ADAR	65	7.65090274810791	0.6966157	Yes	
row_39	BATF2	66	7.589531421661377	0.7101878	Yes	
row_40	SLC25A28	70	7.4993157386779785	0.7234158	Yes	
row_41	LAP3	71	7.448722839355469	0.73673606	Yes	
row_42	TRIM21	72	7.386651515960693	0.7499453	Yes	
row_43	UBA7	73	7.3492279052734375	0.76308763	Yes	
row_44	RNF31	77	7.148495674133301	0.7756883	Yes	
row_45	GBP4	78	7.138426780700684	0.78845364	Yes	
row_46	CMTR1	80	7.082993030548096	0.801059	Yes	
row_47	ISG20	85	6.756235122680664	0.81289726	Yes	
row_48	B2M	86	6.735051155090332	0.8249413	Yes	
row_49	CNP	87	6.716151714324951	0.8369515	Yes	
row_50	LGALS3BP	91	6.281310558319092	0.84800136	Yes	
row_51	GMPR	98	6.139688491821289	0.8586153	Yes	
row_52	PNPT1	101	6.010858058929443	0.8692424	Yes	
row_53	OGFR	105	5.7007856369018555	0.87925416	Yes	
row_54	MOV10	110	5.386512279510498	0.888643	Yes	
row_55	TDRD7	120	5.143886089324951	0.8972934	Yes	
row_56	PSME2	126	4.999812602996826	0.90592974	Yes	
row_57	TRIM5	150	4.460233688354492	0.91250473	Yes	
row_58	TMEM140	152	4.420857906341553	0.9203495	Yes	
row_59	NMI	153	4.41911506652832	0.92825204	Yes	
row_60	GBP2	154	4.384998321533203	0.93609357	Yes	
row_61	IRF1	156	4.271374225616455	0.943671	Yes	
row_62	IFI30	170	3.8334031105041504	0.9497342	Yes	
row_63	TENT5A	260	2.8150956630706787	0.9493468	Yes	
row_64	LAMP3	265	2.781507968902588	0.9540772	Yes	
row_65	TRAFD1	271	2.737109422683716	0.9586673	Yes	
row_66	RIPK2	354	2.2747790813446045	0.95774007	No	
row_67	CSF1	440	1.948067545890808	0.9560458	No	
row_68	CD47	461	1.9179556369781494	0.9582573	No	
row_69	TXNIP	573	1.6896950006484985	0.95451725	No	
row_70	IFITM2	632	1.5946967601776123	0.95383584	No	
row_71	PROCR	703	1.4772870540618896	0.95221347	No	
row_72	IL15	748	1.4227722883224487	0.95207745	No	
row_73	SELL	1621	0.8354673385620117	0.90045255	No	
row_74	NUB1	2294	0.6442574858665466	0.860669	No	
row_75	MVB12A	2614	0.5714380145072937	0.84225863	No	
row_76	IRF2	2787	0.535126268863678	0.832738	No	
row_77	C1S	5158	0.20994523167610168	0.68874204	No	
row_78	CD74	10180	-0.1339103877544403	0.3831214	No	
row_79	CASP8	11952	-0.2962784171104431	0.27576867	No	
row_80	CCRL2	13817	-0.5442914366722107	0.16319424	No	
