NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OAS2	0	12.394874572753906	0.018897925	Yes	
row_1	MX1	1	12.382448196411133	0.037776902	Yes	
row_2	IFI44L	2	12.20003890991211	0.05637777	Yes	
row_3	IFI44	4	12.02082633972168	0.07464425	Yes	
row_4	XAF1	5	12.009820938110352	0.092955105	Yes	
row_5	IFI27	6	11.661871910095215	0.11073545	Yes	
row_6	ISG15	7	11.569695472717285	0.12837526	Yes	
row_7	OAS3	9	11.408218383789062	0.14570773	Yes	
row_8	IFIT1	12	11.253605842590332	0.16274333	Yes	
row_9	EPSTI1	13	11.081948280334473	0.17963949	Yes	
row_10	BST2	14	11.059621810913086	0.19650161	Yes	
row_11	HELZ2	15	10.946876525878906	0.21319184	Yes	
row_12	IFIT3	16	10.923203468322754	0.22984597	Yes	
row_13	IRF9	17	10.880812644958496	0.24643546	Yes	
row_14	IRF7	18	10.759765625	0.26284042	Yes	
row_15	RSAD2	19	10.74921989440918	0.27922928	Yes	
row_16	IFI35	20	10.436535835266113	0.2951414	Yes	
row_17	DHX58	21	10.414158821105957	0.31101942	Yes	
row_18	CMPK2	22	10.373311996459961	0.32683516	Yes	
row_19	STAT1	23	10.348186492919922	0.3426126	Yes	
row_20	IFIH1	25	10.169872283935547	0.358057	Yes	
row_21	TRIM14	26	10.135416030883789	0.37351003	Yes	
row_22	HERC6	27	10.114457130432129	0.3889311	Yes	
row_23	MX2	28	10.014175415039062	0.40419927	Yes	
row_24	LY6E	29	10.000020980834961	0.41944587	Yes	
row_25	CXCL11	31	9.774428367614746	0.43428737	Yes	
row_26	PLSCR1	32	9.754230499267578	0.44915923	Yes	
row_27	HLA-B	33	9.73355484008789	0.46399954	Yes	
row_28	UBE2L6	35	9.714856147766113	0.47875023	Yes	
row_29	SAMD9L	36	9.673852920532227	0.49349952	Yes	
row_30	RIGI	39	9.433432579040527	0.50776	Yes	
row_31	USP18	41	9.393589973449707	0.5220208	Yes	
row_32	IFIT2	43	9.235150337219238	0.5360401	Yes	
row_33	TAP1	45	9.100299835205078	0.5498538	Yes	
row_34	OASL	46	9.092021942138672	0.563716	Yes	
row_35	EIF2AK2	47	9.040067672729492	0.57749903	Yes	
row_36	PARP14	50	8.692167282104492	0.5906293	Yes	
row_37	STAT2	53	8.656085014343262	0.6037046	Yes	
row_38	SP110	55	8.557394981384277	0.6166905	Yes	
row_39	IFITM3	58	8.336878776550293	0.6292791	Yes	
row_40	TRIM25	60	7.909668922424316	0.6412775	Yes	
row_41	PARP12	63	7.712634563446045	0.6529143	Yes	
row_42	ADAR	65	7.65090274810791	0.6645182	Yes	
row_43	BATF2	66	7.589531421661377	0.6760896	Yes	
row_44	SLC25A28	70	7.4993157386779785	0.68734	Yes	
row_45	LAP3	71	7.448722839355469	0.6986968	Yes	
row_46	TRIM21	72	7.386651515960693	0.7099589	Yes	
row_47	RNF213	75	7.2635040283203125	0.72091097	Yes	
row_48	PML	76	7.247986316680908	0.73196167	Yes	
row_49	RNF31	77	7.148495674133301	0.7428606	Yes	
row_50	GBP4	78	7.138426780700684	0.7537443	Yes	
row_51	CMTR1	80	7.082993030548096	0.76448226	Yes	
row_52	ISG20	85	6.756235122680664	0.77453864	Yes	
row_53	B2M	86	6.735051155090332	0.78480726	Yes	
row_54	LGALS3BP	91	6.281310558319092	0.79413956	Yes	
row_55	TNFSF10	94	6.171242713928223	0.80342627	Yes	
row_56	MYD88	95	6.167307376861572	0.8128293	Yes	
row_57	PNPT1	101	6.010858058929443	0.8216881	Yes	
row_58	OGFR	105	5.7007856369018555	0.8301964	Yes	
