NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OAS2	0	12.394874572753906	0.034658834	Yes	
row_1	MX1	1	12.382448196411133	0.06928292	Yes	
row_2	IFI6	3	12.140033721923828	0.103168316	Yes	
row_3	XAF1	5	12.009820938110352	0.1366896	Yes	
row_4	IFI27	6	11.661871910095215	0.1692988	Yes	
row_5	ISG15	7	11.569695472717285	0.20165025	Yes	
row_6	OAS1	8	11.539039611816406	0.23391597	Yes	
row_7	OAS3	9	11.408218383789062	0.26581588	Yes	
row_8	IFITM1	11	11.304014205932617	0.2973636	Yes	
row_9	IFIT1	12	11.253605842590332	0.3288312	Yes	
row_10	BST2	14	11.059621810913086	0.3596955	Yes	
row_11	IFIT3	16	10.923203468322754	0.39017838	Yes	
row_12	IRF9	17	10.880812644958496	0.42060354	Yes	
row_13	IRF7	18	10.759765625	0.45069027	Yes	
row_14	RSAD2	19	10.74921989440918	0.48074746	Yes	
row_15	IFI35	20	10.436535835266113	0.5099304	Yes	
row_16	STAT1	23	10.348186492919922	0.5387445	Yes	
row_17	MX2	28	10.014175415039062	0.566503	Yes	
row_18	HLA-B	33	9.73355484008789	0.5934768	Yes	
row_19	SAMHD1	34	9.725430488586426	0.6206713	Yes	
row_20	IFIT5	37	9.548986434936523	0.64725065	Yes	
row_21	USP18	41	9.393589973449707	0.6733347	Yes	
row_22	IFIT2	43	9.235150337219238	0.6990974	Yes	
row_23	OASL	46	9.092021942138672	0.72439903	Yes	
row_24	EIF2AK2	47	9.040067672729492	0.74967706	Yes	
row_25	HLA-C	51	8.675032615661621	0.77375185	Yes	
row_26	STAT2	53	8.656085014343262	0.7978954	Yes	
row_27	IFITM3	58	8.336878776550293	0.82096374	Yes	
row_28	PSMB8	64	7.6986403465271	0.8421866	Yes	
row_29	ADAR	65	7.65090274810791	0.8635802	Yes	
row_30	ISG20	85	6.756235122680664	0.8813161	Yes	
row_31	HLA-F	88	6.709478855133057	0.89995563	Yes	
row_32	HLA-H	130	4.934892177581787	0.91126	Yes	
row_33	GBP2	154	4.384998321533203	0.922122	Yes	
row_34	IRF1	156	4.271374225616455	0.93400484	Yes	
row_35	HLA-A	167	3.97355580329895	0.94450736	Yes	
row_36	HLA-E	421	2.0165741443634033	0.93475217	No	
row_37	IFITM2	632	1.5946967601776123	0.9264337	No	
row_38	SOCS1	959	1.2161368131637573	0.90999854	No	
row_39	UBC	2331	0.6360067129135132	0.82835746	No	
row_40	IRF6	2344	0.6334443688392639	0.8293986	No	
row_41	RNASEL	2478	0.6029703617095947	0.8229921	No	
row_42	TYK2	2745	0.544127345085144	0.8083286	No	
row_43	PTPN1	2766	0.5391510725021362	0.8086193	No	
row_44	IRF2	2787	0.535126268863678	0.80889875	No	
row_45	IRF8	3421	0.423347532749176	0.7715671	No	
row_46	IRF3	4310	0.3042961657047272	0.718387	No	
row_47	IRF5	6140	0.12288590520620346	0.6074437	No	
row_48	IFNAR1	7527	0.025492720305919647	0.52318275	No	
row_49	UBB	8214	-0.0030798474326729774	0.4814512	No	
row_50	UBA52	8797	-0.03751051053404808	0.44614387	No	
row_51	JAK1	9152	-0.060047995299100876	0.42477238	No	
row_52	KPNA1	9672	-0.09588921070098877	0.39346156	No	
row_53	IRF4	10528	-0.16092796623706818	0.34188843	No	
row_54	IP6K2	10621	-0.16812217235565186	0.33676073	No	
row_55	KPNB1	12230	-0.324851393699646	0.2398291	No	
row_56	SOCS3	13557	-0.5058051347732544	0.16056196	No	
row_57	PTPN6	14716	-0.7504429817199707	0.092200994	No	
row_58	RPS27A	15248	-0.9365136623382568	0.062510595	No	
row_59	PTPN11	15488	-1.049049973487854	0.050901838	No	
row_60	EGR1	16225	-1.8124656677246094	0.011187419	No	
row_61	ABCE1	16251	-1.8743184804916382	0.014907287	No	
