NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL36	3812	0.3666241765022278	-0.22678873	No	
row_1	RPL35	3900	0.35362061858177185	-0.22649679	No	
row_2	EIF4G1	5161	0.20947113633155823	-0.30006018	No	
row_3	RPL39L	5925	0.1405280977487564	-0.3443902	No	
row_4	RPL28	6000	0.1340775489807129	-0.34678203	No	
row_5	RPL18A	6214	0.1170777752995491	-0.35792437	No	
row_6	RPS15	6277	0.11180141568183899	-0.35993677	No	
row_7	RPL36AL	6328	0.10864371806383133	-0.36126697	No	
row_8	RPLP2	6674	0.08224474638700485	-0.38101515	No	
row_9	RPS19	7070	0.055565617978572845	-0.40423667	No	
row_10	RPS11	7510	0.026450814679265022	-0.430604	No	
row_11	RPL19	7512	0.026400648057460785	-0.43024692	No	
row_12	EIF3K	7645	0.018297802656888962	-0.43801132	No	
row_13	RPS5	7718	0.013457094319164753	-0.4421914	No	
row_14	EIF4A2	8206	-0.0025177395436912775	-0.47186658	No	
row_15	RPS9	8230	-0.004421789199113846	-0.47319993	No	
row_16	RPL39	8251	-0.005544881336390972	-0.47433245	No	
row_17	RPS27L	8352	-0.010133404284715652	-0.4802736	No	
row_18	RPL38	8439	-0.014645226299762726	-0.4852891	No	
row_19	EIF2S1	8509	-0.019168276339769363	-0.48919564	No	
row_20	RPS28	8530	-0.02062421292066574	-0.49008936	No	
row_21	RPS26	8537	-0.021063420921564102	-0.49012187	No	
row_22	UBA52	8797	-0.03751051053404808	-0.5053311	No	
row_23	RPL13	9029	-0.05267602577805519	-0.51859164	No	
row_24	FAU	9098	-0.056998733431100845	-0.52183807	No	
row_25	RPL26L1	9445	-0.07980090379714966	-0.541686	No	
row_26	RPL29	9452	-0.0801042914390564	-0.54078346	No	
row_27	EIF3G	9964	-0.11712302267551422	-0.570108	No	
row_28	EIF3B	10000	-0.11962481588125229	-0.57034904	No	
row_29	RPL22L1	10105	-0.12852361798286438	-0.5746593	No	
row_30	RPLP1	10245	-0.13881002366542816	-0.5809422	No	
row_31	RPL18	10248	-0.138960599899292	-0.5788635	No	
row_32	RPS27	10385	-0.1499030739068985	-0.5847877	No	
row_33	EIF3J	10672	-0.1725533902645111	-0.59950566	No	
row_34	RPL36A	10876	-0.18897011876106262	-0.6088993	No	
row_35	RPS18	10962	-0.19763340055942535	-0.6109557	No	
row_36	EIF4H	11037	-0.2045356184244156	-0.6122317	No	
row_37	RPS10	11095	-0.20891281962394714	-0.612401	No	
row_38	RPS24	11179	-0.2167465090751648	-0.6140327	No	
row_39	RPL23A	11224	-0.22112692892551422	-0.6132154	No	
row_40	RPL37	11491	-0.247469961643219	-0.62552655	No	
row_41	RPL12	11615	-0.25995951890945435	-0.62891454	No	
row_42	RPL30	11837	-0.2845038175582886	-0.63789344	No	
row_43	RPL8	12021	-0.30292418599128723	-0.64426196	No	
row_44	RPL10	12099	-0.3117523193359375	-0.64402294	No	
row_45	EIF2S2	12356	-0.33933958411216736	-0.654269	Yes	
row_46	EIF4E	12440	-0.3496915400028229	-0.65379524	Yes	
row_47	EIF4A1	12478	-0.3533129394054413	-0.6504573	Yes	
row_48	RPS4Y1	12511	-0.3563443124294281	-0.64676636	Yes	
row_49	RPL26	12534	-0.35889557003974915	-0.6424248	Yes	
row_50	RPS29	12768	-0.3906215727329254	-0.6504553	Yes	
row_51	RPL32	12806	-0.39544549584388733	-0.6464501	Yes	
row_52	RPL27	12810	-0.3966570794582367	-0.64035124	Yes	
row_53	RPS13	12921	-0.4132336676120758	-0.64051855	Yes	
row_54	RPL11	12997	-0.42520031332969666	-0.6383608	Yes	
row_55	EIF3F	13051	-0.4313814640045166	-0.63476276	Yes	
row_56	RPL37A	13083	-0.4359660744667053	-0.6297498	Yes	
row_57	EIF3M	13163	-0.44796624779701233	-0.62747556	Yes	
row_58	RPL13A	13281	-0.4652230441570282	-0.6272466	Yes	
row_59	RPL35A	13308	-0.47081196308135986	-0.6213767	Yes	
row_60	RPS16	13367	-0.48066356778144836	-0.6173033	Yes	
row_61	RPL41	13410	-0.4871136546134949	-0.61215144	Yes	
row_62	RPLP0	13453	-0.4923679828643799	-0.60691637	Yes	
row_63	RPSA	13530	-0.5020754337310791	-0.6036022	Yes	
row_64	RPS17	13584	-0.5107715129852295	-0.59874684	Yes	
row_65	RPS2	13658	-0.5190999507904053	-0.59497994	Yes	
row_66	RPL17	13669	-0.5202395915985107	-0.5873509	Yes	
row_67	RPS25	13686	-0.5220667719841003	-0.5800591	Yes	
row_68	EIF3I	13810	-0.5429882407188416	-0.5789647	Yes	
row_69	RPS15A	13945	-0.5703056454658508	-0.57810885	Yes	
row_70	RPL24	14074	-0.5973381400108337	-0.57645875	Yes	
row_71	RPS21	14116	-0.6037903428077698	-0.5693981	Yes	
row_72	RPL31	14179	-0.6163772344589233	-0.5634194	Yes	
row_73	RPS8	14225	-0.6246263980865479	-0.5562728	Yes	
row_74	RPL34	14443	-0.6749045252799988	-0.5588248	Yes	
row_75	RPS12	14450	-0.6762277483940125	-0.5484813	Yes	
row_76	RPL27A	14535	-0.7040214538574219	-0.5424569	Yes	
row_77	RPL10A	14673	-0.7409883141517639	-0.539081	Yes	
