NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ISG15	7	11.569695472717285	0.06599154	Yes	
row_1	OAS1	8	11.539039611816406	0.13223323	Yes	
row_2	OAS3	9	11.408218383789062	0.19772393	Yes	
row_3	DHX58	21	10.414158821105957	0.2568384	Yes	
row_4	LGALS9	24	10.224085807800293	0.31540966	Yes	
row_5	HLA-B	33	9.73355484008789	0.37079966	Yes	
row_6	SAMHD1	34	9.725430488586426	0.42663005	Yes	
row_7	USP18	41	9.393589973449707	0.4801902	Yes	
row_8	PARP14	50	8.692167282104492	0.52960193	Yes	
row_9	STAT2	53	8.656085014343262	0.57917184	Yes	
row_10	TRIM21	72	7.386651515960693	0.6204803	Yes	
row_11	HLA-F	88	6.709478855133057	0.658084	Yes	
row_12	NLRC5	104	5.753104209899902	0.69019747	Yes	
row_13	NMI	153	4.41911506652832	0.7126441	Yes	
row_14	IFI16	163	4.027005672454834	0.7352139	Yes	
row_15	HLA-A	167	3.97355580329895	0.75784206	Yes	
row_16	TREX1	181	3.7122108936309814	0.7783612	Yes	
row_17	TRAFD1	271	2.737109422683716	0.7886561	Yes	
row_18	PVR	278	2.648841381072998	0.80349696	Yes	
row_19	HLA-E	421	2.0165741443634033	0.80642915	Yes	
row_20	SERPINB9	427	1.9917718172073364	0.8175588	Yes	
row_21	MICA	503	1.8230491876602173	0.8234587	Yes	
row_22	NECTIN2	649	1.5645115375518799	0.82361305	Yes	
row_23	CEACAM1	1072	1.1403943300247192	0.8044703	No	
row_24	GRN	1418	0.9210430383682251	0.78875566	No	
row_25	DTX4	1851	0.7590125799179077	0.7668147	No	
row_26	AURKB	2001	0.7208117246627808	0.76188225	No	
row_27	KLRD1	2393	0.6225503087043762	0.7416538	No	
row_28	TGFB1	2617	0.5705262422561646	0.73135376	No	
row_29	SERPING1	2658	0.5596755743026733	0.73213166	No	
row_30	SFN	2927	0.507050096988678	0.7187279	No	
row_31	LYAR	3893	0.35427799820899963	0.6620169	No	
row_32	GIGYF2	4404	0.2930259704589844	0.63265264	No	
row_33	NECTIN4	4551	0.2741253972053528	0.6253385	No	
row_34	IRAK3	5070	0.21794800460338593	0.5950562	No	
row_35	CACTIN	6066	0.12841765582561493	0.5352224	No	
row_36	USP15	6322	0.10892635583877563	0.52032447	No	
row_37	USP38	6485	0.09605874866247177	0.5110141	No	
row_38	RPS19	7070	0.055565617978572845	0.47578186	No	
row_39	ATG5	8403	-0.012910818681120872	0.39476997	No	
row_40	GRB2	8825	-0.039299819618463516	0.36936703	No	
row_41	YTHDF2	9062	-0.05463112145662308	0.35531405	No	
row_42	NLRC3	9374	-0.07435435801744461	0.33680865	No	
row_43	METTL3	9603	-0.0915169045329094	0.32345444	No	
row_44	SMIM30	9644	-0.09404347836971283	0.32155928	No	
row_45	ZDHHC18	9752	-0.10082188248634338	0.31562442	No	
row_46	MUL1	9854	-0.10777914524078369	0.3100947	No	
row_47	DDX39A	9959	-0.1165483221411705	0.30443272	No	
row_48	BANF1	10056	-0.12476217746734619	0.2993049	No	
row_49	EIF4E2	10360	-0.1484072059392929	0.28171164	No	
row_50	PTPN2	11487	-0.24692490696907043	0.21458346	No	
row_51	NR1H2	11563	-0.2541079521179199	0.21147655	No	
row_52	PARP1	11861	-0.2873516082763672	0.19504614	No	
row_53	MAVS	12119	-0.31345701217651367	0.18120062	No	
row_54	FAM3A	12247	-0.32686054706573486	0.17534584	No	
row_55	YTHDF3	12322	-0.33584505319595337	0.17276902	No	
row_56	PIM1	12776	-0.39163312315940857	0.14744072	No	
row_57	TYRO3	13242	-0.45936405658721924	0.12177071	No	
row_58	INPP5D	13456	-0.49302586913108826	0.111634545	No	
row_59	ATG12	13822	-0.5452183485031128	0.09254494	No	
row_60	NR1H3	14062	-0.5938472151756287	0.0814048	No	
row_61	YWHAZ	14439	-0.6741591095924377	0.06238577	No	
row_62	PTPN6	14716	-0.7504429817199707	0.049892202	No	
row_63	ARRB2	14822	-0.7817254662513733	0.047987904	No	
row_64	A2M	15646	-1.1342482566833496	0.0043987925	No	
row_65	CEP63	15652	-1.1375879049301147	0.010624919	No	
row_66	CNOT7	15813	-1.2613043785095215	0.008125575	No	
row_67	TNFAIP3	15978	-1.405102014541626	0.006208223	No	
row_68	PPARG	16165	-1.6868340969085693	0.004568939	No	
row_69	TTLL12	16415	-2.703500986099243	0.0049308436	No	
