NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OAS2	0	12.394874572753906	0.058633182	Yes	
row_1	MX1	1	12.382448196411133	0.11720759	Yes	
row_2	ISG15	7	11.569695472717285	0.17163348	Yes	
row_3	OAS1	8	11.539039611816406	0.2262182	Yes	
row_4	OAS3	9	11.408218383789062	0.28018406	Yes	
row_5	IFITM1	11	11.304014205932617	0.33359623	Yes	
row_6	IFIT1	12	11.253605842590332	0.38683072	Yes	
row_7	BST2	14	11.059621810913086	0.4390868	Yes	
row_8	RSAD2	19	10.74921989440918	0.48969224	Yes	
row_9	IFIH1	25	10.169872283935547	0.5374964	Yes	
row_10	PLSCR1	32	9.754230499267578	0.5832736	Yes	
row_11	IFIT5	37	9.548986434936523	0.6282014	Yes	
row_12	OASL	46	9.092021942138672	0.6707245	Yes	
row_13	EIF2AK2	47	9.040067672729492	0.713488	Yes	
row_14	IFITM3	58	8.336878776550293	0.7523174	Yes	
row_15	SHFL	62	7.799966812133789	0.7890324	Yes	
row_16	ZC3HAV1	82	6.904216289520264	0.82053787	Yes	
row_17	ISG20	85	6.756235122680664	0.8523763	Yes	
row_18	N4BP1	124	5.0323805809021	0.8738726	Yes	
row_19	ZNFX1	137	4.722503185272217	0.89548296	Yes	
row_20	IFI16	163	4.027005672454834	0.91301334	Yes	
row_21	APOBEC3G	333	2.3547558784484863	0.91388315	Yes	
row_22	CCL5	415	2.0441155433654785	0.9186308	Yes	
row_23	APOBEC3F	457	1.9231491088867188	0.9252368	Yes	
row_24	IFITM2	632	1.5946967601776123	0.9222074	No	
row_25	APOBEC3D	772	1.3977257013320923	0.920373	No	
row_26	FAM111A	1970	0.7292525768280029	0.8510877	No	
row_27	RNASEL	2478	0.6029703617095947	0.82313246	No	
row_28	APOBEC3B	5467	0.18012414872646332	0.6424204	No	
row_29	PROX1	6346	0.10697490721940994	0.5895753	No	
row_30	TRIM6	7715	0.013789472170174122	0.5065148	No	
row_31	APOBEC3C	9929	-0.11371618509292603	0.37258106	No	
row_32	BANF1	10056	-0.12476217746734619	0.36551493	No	
row_33	ILF3	10162	-0.13213716447353363	0.35975975	No	
row_34	SRPK2	10247	-0.1389383226633072	0.35531276	No	
row_35	MAVS	12119	-0.31345701217651367	0.24310532	No	
row_36	SRPK1	13162	-0.4479338526725769	0.18190773	No	
row_37	INPP5K	14900	-0.8090165853500366	0.08018694	No	
row_38	TNIP1	15711	-1.1792774200439453	0.036546256	No	
row_39	HMGA2	16362	-2.345031261444092	0.00814241	No	
