NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OAS2	0	12.394874572753906	0.050076913	Yes	
row_1	MX1	1	12.382448196411133	0.10010362	Yes	
row_2	ISG15	7	11.569695472717285	0.14654256	Yes	
row_3	OAS1	8	11.539039611816406	0.19316179	Yes	
row_4	OAS3	9	11.408218383789062	0.23925248	Yes	
row_5	IFITM1	11	11.304014205932617	0.28486136	Yes	
row_6	IFIT1	12	11.253605842590332	0.3303274	Yes	
row_7	BST2	14	11.059621810913086	0.37494886	Yes	
row_8	RSAD2	19	10.74921989440918	0.41813383	Yes	
row_9	STAT1	23	10.348186492919922	0.45975935	Yes	
row_10	IFIH1	25	10.169872283935547	0.5007861	Yes	
row_11	TRIM14	26	10.135416030883789	0.5417346	Yes	
row_12	PLSCR1	32	9.754230499267578	0.5808388	Yes	
row_13	IFIT5	37	9.548986434936523	0.6191746	Yes	
row_14	OASL	46	9.092021942138672	0.65542096	Yes	
row_15	EIF2AK2	47	9.040067672729492	0.691944	Yes	
row_16	IFITM3	58	8.336878776550293	0.72501785	Yes	
row_17	SHFL	62	7.799966812133789	0.7563482	Yes	
row_18	TRIM21	72	7.386651515960693	0.7856438	Yes	
row_19	ZC3HAV1	82	6.904216289520264	0.8129903	Yes	
row_20	ISG20	85	6.756235122680664	0.8401647	Yes	
row_21	N4BP1	124	5.0323805809021	0.85818475	Yes	
row_22	ZNFX1	137	4.722503185272217	0.87653434	Yes	
row_23	IFI16	163	4.027005672454834	0.8912833	Yes	
row_24	PTX3	166	3.9752135276794434	0.90722203	Yes	
row_25	APOBEC3G	333	2.3547558784484863	0.9066382	Yes	
row_26	CCL5	415	2.0441155433654785	0.9099697	Yes	
row_27	APOBEC3F	457	1.9231491088867188	0.9152456	Yes	
row_28	IFITM2	632	1.5946967601776123	0.9111044	No	
row_29	APOBEC3D	772	1.3977257013320923	0.9082964	No	
row_30	FAM111A	1970	0.7292525768280029	0.8384325	No	
row_31	RNASEL	2478	0.6029703617095947	0.81002915	No	
row_32	MID2	2757	0.5420358180999756	0.79530907	No	
row_33	TRIM11	3317	0.441100150346756	0.7630887	No	
row_34	ARK2N	4087	0.3305812478065491	0.71764815	No	
row_35	TRIM62	4291	0.3064236044883728	0.7065382	No	
row_36	CSNK2B	5107	0.21396073698997498	0.65782845	No	
row_37	APOBEC3B	5467	0.18012414872646332	0.63671917	No	
row_38	PROX1	6346	0.10697490721940994	0.58374506	No	
row_39	TRIM27	6545	0.09142017364501953	0.5720706	No	
row_40	TRIM6	7715	0.013789472170174122	0.50101924	No	
row_41	TRIM13	8402	-0.012844585813581944	0.45934367	No	
row_42	ZFP36	8445	-0.014990311115980148	0.4568495	No	
row_43	APOBEC3C	9929	-0.11371618509292603	0.36710212	No	
row_44	TRIM32	9989	-0.11887454241514206	0.36399356	No	
row_45	BANF1	10056	-0.12476217746734619	0.36048302	No	
row_46	ILF3	10162	-0.13213716447353363	0.35463002	No	
row_47	SRPK2	10247	-0.1389383226633072	0.35008186	No	
row_48	MAVS	12119	-0.31345701217651367	0.23754047	No	
row_49	UBP1	12601	-0.36805450916290283	0.20976956	No	
row_50	SRPK1	13162	-0.4479338526725769	0.17751601	No	
row_51	HEXIM1	13424	-0.4897567629814148	0.16361877	No	
row_52	LARP7	13911	-0.5650390386581421	0.13633956	No	
row_53	PPIA	14812	-0.779239296913147	0.08474327	No	
row_54	INPP5K	14900	-0.8090165853500366	0.08271983	No	
row_55	TNIP1	15711	-1.1792774200439453	0.038214196	No	
row_56	HMGA2	16362	-2.345031261444092	0.008150715	No	
