NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL36	3812	0.3666241765022278	-0.22423185	No	
row_1	RPL35	3900	0.35362061858177185	-0.22176738	No	
row_2	RPL39L	5925	0.1405280977487564	-0.34201318	No	
row_3	RPL28	6000	0.1340775489807129	-0.3435779	No	
row_4	RPL18A	6214	0.1170777752995491	-0.35398588	No	
row_5	RPS15	6277	0.11180141568183899	-0.3553086	No	
row_6	RPL36AL	6328	0.10864371806383133	-0.3559694	No	
row_7	RPLP2	6674	0.08224474638700485	-0.37518573	No	
row_8	RPS19	7070	0.055565617978572845	-0.3980347	No	
row_9	RPS11	7510	0.026450814679265022	-0.42420417	No	
row_10	RPL19	7512	0.026400648057460785	-0.4236853	No	
row_11	RPS5	7718	0.013457094319164753	-0.4358814	No	
row_12	RPS9	8230	-0.004421789199113846	-0.46692196	No	
row_13	RPL39	8251	-0.005544881336390972	-0.4680189	No	
row_14	RPS27L	8352	-0.010133404284715652	-0.4738898	No	
row_15	RPL38	8439	-0.014645226299762726	-0.47880858	No	
row_16	RPS28	8530	-0.02062421292066574	-0.48383978	No	
row_17	RPS26	8537	-0.021063420921564102	-0.4837428	No	
row_18	UBA52	8797	-0.03751051053404808	-0.49870116	No	
row_19	RPL13	9029	-0.05267602577805519	-0.5116203	No	
row_20	FAU	9098	-0.056998733431100845	-0.5145121	No	
row_21	RPL26L1	9445	-0.07980090379714966	-0.53384304	No	
row_22	RPL29	9452	-0.0801042914390564	-0.5324495	No	
row_23	RPL22L1	10105	-0.12852361798286438	-0.56935644	No	
row_24	RPLP1	10245	-0.13881002366542816	-0.57477796	No	
row_25	RPL18	10248	-0.138960599899292	-0.57184815	No	
row_26	RPS27	10385	-0.1499030739068985	-0.5768433	No	
row_27	RPL36A	10876	-0.18897011876106262	-0.6025514	No	
row_28	RPS18	10962	-0.19763340055942535	-0.60339063	No	
row_29	RPS10	11095	-0.20891281962394714	-0.60684615	No	
row_30	RPS24	11179	-0.2167465090751648	-0.6071438	No	
row_31	RPL23A	11224	-0.22112692892551422	-0.6049688	No	
row_32	RPL37	11491	-0.247469961643219	-0.6157428	No	
row_33	RPL12	11615	-0.25995951890945435	-0.61752886	No	
row_34	RPL30	11837	-0.2845038175582886	-0.6247475	No	
row_35	RPL8	12021	-0.30292418599128723	-0.6292461	No	
row_36	RPL10	12099	-0.3117523193359375	-0.6270917	No	
row_37	RPS4Y1	12511	-0.3563443124294281	-0.6443103	Yes	
row_38	RPL26	12534	-0.35889557003974915	-0.6377692	Yes	
row_39	RPS29	12768	-0.3906215727329254	-0.6433886	Yes	
row_40	RPL32	12806	-0.39544549584388733	-0.63695896	Yes	
row_41	RPL27	12810	-0.3966570794582367	-0.62843084	Yes	
row_42	RPS13	12921	-0.4132336676120758	-0.6260587	Yes	
row_43	RPL11	12997	-0.42520031332969666	-0.62129104	Yes	
row_44	RPL37A	13083	-0.4359660744667053	-0.61689633	Yes	
row_45	RPL13A	13281	-0.4652230441570282	-0.6186838	Yes	
row_46	RPL35A	13308	-0.47081196308135986	-0.6099287	Yes	
row_47	RPS16	13367	-0.48066356778144836	-0.6029072	Yes	
row_48	RPL41	13410	-0.4871136546134949	-0.594769	Yes	
row_49	RPLP0	13453	-0.4923679828643799	-0.5865155	Yes	
row_50	RPSA	13530	-0.5020754337310791	-0.5801205	Yes	
row_51	RPS17	13584	-0.5107715129852295	-0.5721331	Yes	
row_52	RPS2	13658	-0.5190999507904053	-0.5651815	Yes	
row_53	RPL17	13669	-0.5202395915985107	-0.554366	Yes	
row_54	RPS25	13686	-0.5220667719841003	-0.54387593	Yes	
row_55	RPS15A	13945	-0.5703056454658508	-0.5470727	Yes	
row_56	RPL24	14074	-0.5973381400108337	-0.5417543	Yes	
row_57	RPS21	14116	-0.6037903428077698	-0.5309929	Yes	
row_58	RPL31	14179	-0.6163772344589233	-0.52123475	Yes	
row_59	RPS8	14225	-0.6246263980865479	-0.5102595	Yes	
row_60	RPL34	14443	-0.6749045252799988	-0.50866085	Yes	
row_61	RPS12	14450	-0.6762277483940125	-0.49417597	Yes	
row_62	RPL27A	14535	-0.7040214538574219	-0.4838336	Yes	
row_63	RPL10A	14673	-0.7409883141517639	-0.47590896	Yes	
row_64	RPS14	14707	-0.7484767436981201	-0.46148267	Yes	
row_65	RPL3	14747	-0.7587268948554993	-0.44719687	Yes	
row_66	RPS7	14809	-0.7778841257095337	-0.43383092	Yes	
row_67	RPL14	14985	-0.8416233658790588	-0.42601177	Yes	
row_68	RPS4X	15209	-0.9196287393569946	-0.41940442	Yes	
row_69	RPS27A	15248	-0.9365136623382568	-0.40115336	Yes	
row_70	RPS3	15355	-0.9803236722946167	-0.38608372	Yes	
row_71	RPL22	15380	-0.988877534866333	-0.36582962	Yes	
row_72	EEF2	15400	-0.9991445541381836	-0.34504536	Yes	
row_73	RPS3A	15470	-1.0397567749023438	-0.32641596	Yes	
row_74	RPL4	15494	-1.0516232252120972	-0.30472293	Yes	
row_75	RPL21	15537	-1.0750925540924072	-0.2836723	Yes	
row_76	RPL7A	15558	-1.083444595336914	-0.26109767	Yes	
row_77	RPS23	15619	-1.1169945001602173	-0.24022366	Yes	
row_78	RPS6	15997	-1.4277830123901367	-0.23184079	Yes	
row_79	RPL6	16036	-1.491696834564209	-0.20139743	Yes	
row_80	RPL15	16037	-1.4929358959197998	-0.16861136	Yes	
row_81	RPS20	16047	-1.5022574663162231	-0.13616899	Yes	
row_82	EEF1A1	16055	-1.509002685546875	-0.10345661	Yes	
row_83	RPL7	16215	-1.7935962677001953	-0.073756404	Yes	
row_84	RPL5	16300	-2.017451763153076	-0.03457005	Yes	
row_85	RPL23	16323	-2.115225076675415	0.010541438	Yes	
