NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OAS1	8	11.539039611816406	0.037944432	Yes	
row_1	OAS3	9	11.408218383789062	0.07594401	Yes	
row_2	PARP9	10	11.350859642028809	0.11375252	Yes	
row_3	IRF7	18	10.759765625	0.14916264	Yes	
row_4	RSAD2	19	10.74921989440918	0.18496716	Yes	
row_5	IFI35	20	10.436535835266113	0.21973015	Yes	
row_6	DHX58	21	10.414158821105957	0.2544186	Yes	
row_7	IFIH1	25	10.169872283935547	0.2881093	Yes	
row_8	DDX60	30	9.830300331115723	0.32060754	Yes	
row_9	PLSCR1	32	9.754230499267578	0.3530365	Yes	
row_10	RIGI	39	9.433432579040527	0.3840901	Yes	
row_11	OASL	46	9.092021942138672	0.4140065	Yes	
row_12	SLC15A3	52	8.672094345092773	0.44258553	Yes	
row_13	TRIM25	60	7.909668922424316	0.46850228	Yes	
row_14	UNC93B1	74	7.291554927825928	0.49199197	Yes	
row_15	HLA-F	88	6.709478855133057	0.51354283	Yes	
row_16	MYD88	95	6.167307376861572	0.53371733	Yes	
row_17	NLRC5	104	5.753104209899902	0.55238944	Yes	
row_18	CTSS	115	5.240476608276367	0.5692313	Yes	
row_19	TLR3	116	5.202310085296631	0.58655965	Yes	
row_20	CASP1	119	5.1775994300842285	0.60368294	Yes	
row_21	ZNFX1	137	4.722503185272217	0.61837	Yes	
row_22	TRIM5	150	4.460233688354492	0.6324902	Yes	
row_23	NMI	153	4.41911506652832	0.6470871	Yes	
row_24	GBP2	154	4.384998321533203	0.66169304	Yes	
row_25	TRIM56	155	4.283351898193359	0.6759605	Yes	
row_26	IFI16	163	4.027005672454834	0.68894446	Yes	
row_27	PVR	278	2.648841381072998	0.6907723	Yes	
row_28	CD274	316	2.4238951206207275	0.6965757	Yes	
row_29	HSPA1A	342	2.3255083560943604	0.7027877	Yes	
row_30	RIPK2	354	2.2747790813446045	0.7096898	Yes	
row_31	CCL5	415	2.0441155433654785	0.71281683	Yes	
row_32	HLA-E	421	2.0165741443634033	0.719227	Yes	
row_33	TLR4	462	1.9146727323532104	0.7231502	Yes	
row_34	P2RX7	463	1.9129393100738525	0.729522	Yes	
row_35	HSPA1B	602	1.6408045291900635	0.7265195	Yes	
row_36	NECTIN2	649	1.5645115375518799	0.7289081	Yes	
row_37	NEK7	668	1.5311517715454102	0.7329037	Yes	
row_38	HSP90B1	827	1.3220617771148682	0.7276123	No	
row_39	NAIP	895	1.2664380073547363	0.72771955	No	
row_40	EP300	911	1.2518281936645508	0.73096883	No	
row_41	XIAP	1043	1.1601064205169678	0.7267947	No	
row_42	ZNRF1	1192	1.045414686203003	0.72119546	No	
row_43	KCNK6	1332	0.967467725276947	0.7158888	No	
row_44	LAMP1	1432	0.9163179397583008	0.71286625	No	
row_45	CD14	1453	0.9075348377227783	0.7146619	No	
row_46	CD226	1494	0.8882525563240051	0.71516615	No	
row_47	PRKCE	1681	0.8133592009544373	0.7064622	No	
row_48	EPG5	1721	0.8006239533424377	0.7067359	No	
row_49	CPT1A	1749	0.7894858717918396	0.7077089	No	
row_50	NAGK	1754	0.7873348593711853	0.710086	No	
row_51	DHX33	1777	0.7792229652404785	0.71133155	No	
row_52	CREBBP	1963	0.7306116223335266	0.7024133	No	
row_53	KLRD1	2393	0.6225503087043762	0.6781631	No	
row_54	PAK3	2843	0.5238770842552185	0.65235704	No	
row_55	MAP2K6	2949	0.5019080638885498	0.6475859	No	
row_56	CCDC134	2979	0.4970535337924957	0.64746207	No	
row_57	TRAF3	3017	0.48961973190307617	0.64682263	No	
row_58	F2RL1	3095	0.4794849753379822	0.64369494	No	
row_59	TAB1	3100	0.4789946377277374	0.645045	No	
row_60	CAV1	3284	0.446650892496109	0.6353036	No	
row_61	TLR6	3335	0.4380941390991211	0.6336948	No	
row_62	TRIL	3381	0.4310339689254761	0.63236934	No	
row_63	INAVA	3450	0.4174822270870209	0.62958735	No	
row_64	GDI1	3530	0.4054241180419922	0.6260903	No	
row_65	IL12A	3553	0.4026395380496979	0.62608147	No	
