NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OAS2	0	12.394874572753906	0.085270375	Yes	
row_1	ISG15	7	11.569695472717285	0.1644989	Yes	
row_2	OAS1	8	11.539039611816406	0.24388157	Yes	
row_3	OAS3	9	11.408218383789062	0.32236424	Yes	
row_4	IRF7	18	10.759765625	0.39589918	Yes	
row_5	DHX58	21	10.414158821105957	0.46742156	Yes	
row_6	STAT1	23	10.348186492919922	0.5385509	Yes	
row_7	IFIH1	25	10.169872283935547	0.6084536	Yes	
row_8	RIGI	39	9.433432579040527	0.6725598	Yes	
row_9	ZC3HAV1	82	6.904216289520264	0.71750194	Yes	
row_10	MYD88	95	6.167307376861572	0.75919974	Yes	
row_11	TLR3	116	5.202310085296631	0.7937721	Yes	
row_12	TRIM56	155	4.283351898193359	0.8209274	Yes	
row_13	IRF1	156	4.271374225616455	0.85031223	Yes	
row_14	RIPK2	354	2.2747790813446045	0.85397565	Yes	
row_15	TLR4	462	1.9146727323532104	0.86063755	Yes	
row_16	XIAP	1043	1.1601064205169678	0.8333301	No	
row_17	TANK	1282	0.9912951588630676	0.8256693	No	
row_18	DHX33	1777	0.7792229652404785	0.80097395	No	
row_19	SETD2	2086	0.6996056437492371	0.7870475	No	
row_20	KPNA2	2130	0.6870704293251038	0.789158	No	
row_21	TRAF3	3017	0.48961973190307617	0.7386203	No	
row_22	IRF3	4310	0.3042961657047272	0.66210574	No	
row_23	TBK1	4365	0.2982732355594635	0.6608723	No	
row_24	ZCCHC3	4659	0.26223811507225037	0.6448496	No	
row_25	RAB2B	4728	0.25549283623695374	0.64247	No	
row_26	FLOT1	4734	0.25519075989723206	0.6439214	No	
row_27	UAP1	5514	0.1769370585680008	0.5977426	No	
row_28	IRF5	6140	0.12288590520620346	0.5605618	No	
row_29	TRIM65	6372	0.10526340454816818	0.5472314	No	
row_30	CHUK	6605	0.08724643290042877	0.53371626	No	
row_31	POLR3G	6648	0.08383940905332565	0.5317377	No	
row_32	IKBKE	6731	0.07808917760848999	0.5272858	No	
row_33	TICAM1	7095	0.05415307730436325	0.5055727	No	
row_34	IRAK1	7176	0.04777516797184944	0.501034	No	
row_35	TICAM2	7402	0.03311314061284065	0.48757234	No	
row_36	RIOK3	7805	0.008566407486796379	0.46317276	No	
row_37	POLR3C	8430	-0.014279871247708797	0.42530558	No	
row_38	RNF135	9331	-0.07167115062475204	0.3710408	No	
row_39	PQBP1	9548	-0.08766965568065643	0.35850203	No	
row_40	POLR3A	10208	-0.13606590032577515	0.31934318	No	
row_41	POLR3F	10496	-0.15766070783138275	0.30296615	No	
row_42	ARRDC4	10662	-0.17145468294620514	0.29410672	No	
row_43	NMB	10879	-0.18933835625648499	0.2822674	No	
row_44	DHX9	11103	-0.20994208753108978	0.2701439	No	
row_45	GARIN5A	11319	-0.230147123336792	0.25864616	No	
row_46	GAPDH	11321	-0.230592742562294	0.26017168	No	
row_47	HSP90AA1	11839	-0.2851766347885132	0.2306782	No	
row_48	POLR3B	11866	-0.28779828548431396	0.23107621	No	
row_49	MAVS	12119	-0.31345701217651367	0.21790044	No	
row_50	TLR2	12374	-0.34216973185539246	0.2048005	No	
row_51	HSPD1	12525	-0.35805365443229675	0.19813742	No	
row_52	DHX36	12576	-0.3646143674850464	0.19760367	No	
row_53	DDX3X	13524	-0.5016735792160034	0.14343752	No	
row_54	POLR3D	13663	-0.5193356275558472	0.13861407	No	
row_55	STING1	13753	-0.5320548415184021	0.13685939	No	
row_56	G3BP1	14124	-0.6053014993667603	0.118512	No	
row_57	USP22	14686	-0.7426316142082214	0.08948853	No	
row_58	CGAS	14925	-0.8146185278892517	0.08061228	No	
row_59	PTPN11	15488	-1.049049973487854	0.05363597	No	
row_60	TOMM70	15605	-1.10939621925354	0.05421037	No	
