NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL36	3812	0.3666241765022278	-0.2235018	No	
row_1	RPL35	3900	0.35362061858177185	-0.22042643	No	
row_2	RPL28	6000	0.1340775489807129	-0.34509867	No	
row_3	RPL18A	6214	0.1170777752995491	-0.35529962	No	
row_4	RPS15	6277	0.11180141568183899	-0.3564283	No	
row_5	RPLP2	6674	0.08224474638700485	-0.37860042	No	
row_6	RPS19	7070	0.055565617978572845	-0.4013435	No	
row_7	RPS11	7510	0.026450814679265022	-0.42745602	No	
row_8	RPL19	7512	0.026400648057460785	-0.4268917	No	
row_9	RPS5	7718	0.013457094319164753	-0.43905932	No	
row_10	RPS9	8230	-0.004421789199113846	-0.47007897	No	
row_11	RPL39	8251	-0.005544881336390972	-0.47116584	No	
row_12	RPL38	8439	-0.014645226299762726	-0.48220894	No	
row_13	RPS28	8530	-0.02062421292066574	-0.48720232	No	
row_14	RPS26	8537	-0.021063420921564102	-0.48706895	No	
row_15	UBA52	8797	-0.03751051053404808	-0.501956	No	
row_16	RPL13	9029	-0.05267602577805519	-0.51477844	No	
row_17	FAU	9098	-0.056998733431100845	-0.5175704	No	
row_18	RPL29	9452	-0.0801042914390564	-0.53717417	No	
row_19	RPLP1	10245	-0.13881002366542816	-0.5821266	No	
row_20	RPL18	10248	-0.138960599899292	-0.57895756	No	
row_21	RPS27	10385	-0.1499030739068985	-0.5836911	No	
row_22	RPL36A	10876	-0.18897011876106262	-0.60906124	No	
row_23	RPS18	10962	-0.19763340055942535	-0.60955817	No	
row_24	RPS10	11095	-0.20891281962394714	-0.61265063	No	
row_25	RPS24	11179	-0.2167465090751648	-0.6125731	No	
row_26	RPL23A	11224	-0.22112692892551422	-0.61001635	No	
row_27	RPL37	11491	-0.247469961643219	-0.62035745	No	
row_28	RPL12	11615	-0.25995951890945435	-0.6216929	No	
row_29	RPL30	11837	-0.2845038175582886	-0.6284161	No	
row_30	RPL8	12021	-0.30292418599128723	-0.6323886	No	
row_31	RPL10	12099	-0.3117523193359375	-0.62969565	No	
row_32	RPL26	12534	-0.35889557003974915	-0.6476307	No	
row_33	RPS29	12768	-0.3906215727329254	-0.65257174	Yes	
row_34	RPL32	12806	-0.39544549584388733	-0.6454604	Yes	
row_35	RPL27	12810	-0.3966570794582367	-0.63624954	Yes	
row_36	RPS13	12921	-0.4132336676120758	-0.6331633	Yes	
row_37	RPL11	12997	-0.42520031332969666	-0.6276619	Yes	
row_38	RPL37A	13083	-0.4359660744667053	-0.62251455	Yes	
row_39	QARS1	13184	-0.45019426941871643	-0.61794394	Yes	
row_40	RPL13A	13281	-0.4652230441570282	-0.6127738	Yes	
row_41	RPL35A	13308	-0.47081196308135986	-0.60320765	Yes	
row_42	RPS16	13367	-0.48066356778144836	-0.5953573	Yes	
row_43	RPL41	13410	-0.4871136546134949	-0.58637965	Yes	
row_44	RPLP0	13453	-0.4923679828643799	-0.57727754	Yes	
row_45	RPSA	13530	-0.5020754337310791	-0.5700165	Yes	
row_46	RACK1	13577	-0.5089900493621826	-0.5607644	Yes	
row_47	RPS17	13584	-0.5107715129852295	-0.54903376	Yes	
row_48	RPS2	13658	-0.5190999507904053	-0.5411868	Yes	
row_49	RPL17	13669	-0.5202395915985107	-0.52947557	Yes	
row_50	RPS25	13686	-0.5220667719841003	-0.51808655	Yes	
row_51	RPS15A	13945	-0.5703056454658508	-0.520295	Yes	
row_52	RPL24	14074	-0.5973381400108337	-0.5139452	Yes	
row_53	RPS21	14116	-0.6037903428077698	-0.5021435	Yes	
row_54	RPL31	14179	-0.6163772344589233	-0.49132282	Yes	
row_55	RPS8	14225	-0.6246263980865479	-0.47927132	Yes	
row_56	RPL34	14443	-0.6749045252799988	-0.47650546	Yes	
row_57	RPS12	14450	-0.6762277483940125	-0.4608565	Yes	
row_58	RPL27A	14535	-0.7040214538574219	-0.4493002	Yes	
row_59	RPL10A	14673	-0.7409883141517639	-0.44009662	Yes	
row_60	RPS14	14707	-0.7484767436981201	-0.4243812	Yes	
row_61	RPL3	14747	-0.7587268948554993	-0.4087885	Yes	
row_62	RPS7	14809	-0.7778841257095337	-0.3940821	Yes	
row_63	RPL14	14985	-0.8416233658790588	-0.38480982	Yes	
row_64	RPS4X	15209	-0.9196287393569946	-0.37661383	Yes	
row_65	RPS3	15355	-0.9803236722946167	-0.3622296	Yes	
row_66	RPL22	15380	-0.988877534866333	-0.3402728	Yes	
row_67	RPS3A	15470	-1.0397567749023438	-0.3210702	Yes	
row_68	RPL4	15494	-1.0516232252120972	-0.2975666	Yes	
row_69	RPL21	15537	-1.0750925540924072	-0.27466443	Yes	
row_70	RPL7A	15558	-1.083444595336914	-0.2502245	Yes	
row_71	RPS23	15619	-1.1169945001602173	-0.22742638	Yes	
row_72	RPS6	15997	-1.4277830123901367	-0.21657625	Yes	
row_73	RPL6	16036	-1.491696834564209	-0.18356444	Yes	
row_74	RPL15	16037	-1.4929358959197998	-0.14820877	Yes	
row_75	RPS20	16047	-1.5022574663162231	-0.11318051	Yes	
row_76	RPL7	16215	-1.7935962677001953	-0.08087636	Yes	
row_77	RPL5	16300	-2.017451763153076	-0.03821544	Yes	
row_78	RPL23	16323	-2.115225076675415	0.010537285	Yes	
