NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL36	3812	0.3666241765022278	-0.22342521	No	
row_1	RPL35	3900	0.35362061858177185	-0.22026265	No	
row_2	RPL28	6000	0.1340775489807129	-0.34490952	No	
row_3	RPL18A	6214	0.1170777752995491	-0.35508227	No	
row_4	RPS15	6277	0.11180141568183899	-0.3561835	No	
row_5	RPLP2	6674	0.08224474638700485	-0.37833676	No	
row_6	RPS19	7070	0.055565617978572845	-0.40106753	No	
row_7	RPS11	7510	0.026450814679265022	-0.42717513	No	
row_8	RPL19	7512	0.026400648057460785	-0.4266043	No	
row_9	RPS5	7718	0.013457094319164753	-0.43876934	No	
row_10	FARSB	8188	-0.0015847678296267986	-0.46729937	No	
row_11	RPS9	8230	-0.004421789199113846	-0.46969095	No	
row_12	RPL39	8251	-0.005544881336390972	-0.47077653	No	
row_13	FARSA	8381	-0.011899239383637905	-0.47834948	No	
row_14	RPL38	8439	-0.014645226299762726	-0.48147106	No	
row_15	RPS28	8530	-0.02062421292066574	-0.48645964	No	
row_16	RPS26	8537	-0.021063420921564102	-0.4863211	No	
row_17	UBA52	8797	-0.03751051053404808	-0.5011998	No	
row_18	RPL13	9029	-0.05267602577805519	-0.5140101	No	
row_19	FAU	9098	-0.056998733431100845	-0.5167882	No	
row_20	RPL29	9452	-0.0801042914390564	-0.53637344	No	
row_21	RPLP1	10245	-0.13881002366542816	-0.5812945	No	
row_22	RPL18	10248	-0.138960599899292	-0.578091	No	
row_23	RPS27	10385	-0.1499030739068985	-0.582788	No	
row_24	RPL36A	10876	-0.18897011876106262	-0.60811317	No	
row_25	RPS18	10962	-0.19763340055942535	-0.60856146	No	
row_26	RPS10	11095	-0.20891281962394714	-0.6116027	No	
row_27	RPS24	11179	-0.2167465090751648	-0.61147183	No	
row_28	RPL23A	11224	-0.22112692892551422	-0.60886055	No	
row_29	RPL37	11491	-0.247469961643219	-0.61914146	No	
row_30	RPL12	11615	-0.25995951890945435	-0.620413	No	
row_31	RPL30	11837	-0.2845038175582886	-0.6270666	No	
row_32	RPL8	12021	-0.30292418599128723	-0.6309648	No	
row_33	RPL10	12099	-0.3117523193359375	-0.628195	No	
row_34	RPL26	12534	-0.35889557003974915	-0.6460428	No	
row_35	RPS29	12768	-0.3906215727329254	-0.6508881	Yes	
row_36	RPL32	12806	-0.39544549584388733	-0.643679	Yes	
row_37	RPL27	12810	-0.3966570794582367	-0.63436997	Yes	
row_38	RPS13	12921	-0.4132336676120758	-0.6311819	Yes	
row_39	RPL11	12997	-0.42520031332969666	-0.6255755	Yes	
row_40	RPL37A	13083	-0.4359660744667053	-0.6203206	Yes	
row_41	RPL13A	13281	-0.4652230441570282	-0.62118787	Yes	
row_42	RPL35A	13308	-0.47081196308135986	-0.61150527	Yes	
row_43	RPS16	13367	-0.48066356778144836	-0.6035362	Yes	
row_44	RPL41	13410	-0.4871136546134949	-0.59443814	Yes	
row_45	RPLP0	13453	-0.4923679828643799	-0.5852144	Yes	
row_46	RPSA	13530	-0.5020754337310791	-0.5778293	Yes	
row_47	RACK1	13577	-0.5089900493621826	-0.5684514	Yes	
row_48	RPS17	13584	-0.5107715129852295	-0.55659443	Yes	
row_49	RPS2	13658	-0.5190999507904053	-0.5486193	Yes	
row_50	RPL17	13669	-0.5202395915985107	-0.5367793	Yes	
row_51	RPS25	13686	-0.5220667719841003	-0.5252611	Yes	
row_52	RPS15A	13945	-0.5703056454658508	-0.52732944	Yes	
row_53	RPL24	14074	-0.5973381400108337	-0.52083224	Yes	
row_54	RPS21	14116	-0.6037903428077698	-0.5088813	Yes	
row_55	RPL31	14179	-0.6163772344589233	-0.4979083	Yes	
row_56	RPS8	14225	-0.6246263980865479	-0.48570237	Yes	
row_57	RPL34	14443	-0.6749045252799988	-0.48277026	Yes	
row_58	RPS12	14450	-0.6762277483940125	-0.466954	Yes	
row_59	RPL27A	14535	-0.7040214538574219	-0.45522377	Yes	
row_60	RPL10A	14673	-0.7409883141517639	-0.44583732	Yes	
row_61	RPS14	14707	-0.7484767436981201	-0.4299368	Yes	
row_62	RPL3	14747	-0.7587268948554993	-0.41415644	Yes	
row_63	RPS7	14809	-0.7778841257095337	-0.39925775	Yes	
row_64	RPL14	14985	-0.8416233658790588	-0.38977784	Yes	
row_65	RPS4X	15209	-0.9196287393569946	-0.3813551	Yes	
row_66	RPS3	15355	-0.9803236722946167	-0.36672878	Yes	
row_67	RPL22	15380	-0.988877534866333	-0.3445274	Yes	
row_68	RPS3A	15470	-1.0397567749023438	-0.32506776	Yes	
row_69	RPL4	15494	-1.0516232252120972	-0.30130398	Yes	
row_70	RPL21	15537	-1.0750925540924072	-0.2781359	Yes	
row_71	RPL7A	15558	-1.083444595336914	-0.25342792	Yes	
row_72	RPS23	15619	-1.1169945001602173	-0.23035358	Yes	
row_73	RPS6	15997	-1.4277830123901367	-0.2191515	Yes	
row_74	RPL6	16036	-1.491696834564209	-0.18577066	Yes	
row_75	RPL15	16037	-1.4929358959197998	-0.15004551	Yes	
row_76	RPS20	16047	-1.5022574663162231	-0.11464551	Yes	
row_77	RPL7	16215	-1.7935962677001953	-0.08189809	Yes	
row_78	RPL5	16300	-2.017451763153076	-0.038738202	Yes	
row_79	RPL23	16323	-2.115225076675415	0.010537924	Yes	
