NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OAS2	0	12.394874572753906	0.06980411	Yes	
row_1	XAF1	5	12.009820938110352	0.13719581	Yes	
row_2	ISG15	7	11.569695472717285	0.20229179	Yes	
row_3	OAS1	8	11.539039611816406	0.2672761	Yes	
row_4	OAS3	9	11.408218383789062	0.33152366	Yes	
row_5	IRF7	18	10.759765625	0.39163154	Yes	
row_6	DHX58	21	10.414158821105957	0.45015892	Yes	
row_7	STAT1	23	10.348186492919922	0.50837576	Yes	
row_8	IFIH1	25	10.169872283935547	0.56558836	Yes	
row_9	RIGI	39	9.433432579040527	0.6179218	Yes	
row_10	TRIM21	72	7.386651515960693	0.65757	Yes	
row_11	ZC3HAV1	82	6.904216289520264	0.6959036	Yes	
row_12	MYD88	95	6.167307376861572	0.7299043	Yes	
row_13	TLR3	116	5.202310085296631	0.75798255	Yes	
row_14	TRIM56	155	4.283351898193359	0.779788	Yes	
row_15	IRF1	156	4.271374225616455	0.8038431	Yes	
row_16	RIPK2	354	2.2747790813446045	0.8046417	Yes	
row_17	TLR4	462	1.9146727323532104	0.8089002	Yes	
row_18	XIAP	1043	1.1601064205169678	0.7800677	No	
row_19	TANK	1282	0.9912951588630676	0.7711382	No	
row_20	ILRUN	1616	0.83725506067276	0.7555485	No	
row_21	DHX33	1777	0.7792229652404785	0.7501807	No	
row_22	DTX4	1851	0.7590125799179077	0.750004	No	
row_23	SETD2	2086	0.6996056437492371	0.7396757	No	
row_24	KPNA2	2130	0.6870704293251038	0.7409231	No	
row_25	TRAF3	3017	0.48961973190307617	0.6896561	No	
row_26	NPLOC4	3358	0.43406516313552856	0.6713689	No	
row_27	IRF8	3421	0.423347532749176	0.6699726	No	
row_28	CYLD	3607	0.39397454261779785	0.66091084	No	
row_29	IRF3	4310	0.3042961657047272	0.61981964	No	
row_30	TBK1	4365	0.2982732355594635	0.61820674	No	
row_31	YY1	4398	0.2941306531429291	0.617912	No	
row_32	ZCCHC3	4659	0.26223811507225037	0.6035352	No	
row_33	RAB2B	4728	0.25549283623695374	0.6008277	No	
row_34	FLOT1	4734	0.25519075989723206	0.60195994	No	
row_35	OTUD5	4834	0.24283817410469055	0.597291	No	
row_36	PTPRS	5014	0.22339092195034027	0.5876344	No	
row_37	UAP1	5514	0.1769370585680008	0.55820405	No	
row_38	REL	5712	0.16018220782279968	0.5470939	No	
row_39	CACTIN	6066	0.12841765582561493	0.52629274	No	
row_40	KAT8	6108	0.12508565187454224	0.5244972	No	
row_41	IRF5	6140	0.12288590520620346	0.52329904	No	
row_42	TRIM65	6372	0.10526340454816818	0.50980645	No	
row_43	ITCH	6404	0.10274878144264221	0.50849485	No	
row_44	TRIM27	6545	0.09142017364501953	0.50047314	No	
row_45	CHUK	6605	0.08724643290042877	0.4973669	No	
row_46	POLR3G	6648	0.08383940905332565	0.4952781	No	
row_47	IKBKE	6731	0.07808917760848999	0.49071786	No	
row_48	TICAM1	7095	0.05415307730436325	0.4688887	No	
row_49	IRAK1	7176	0.04777516797184944	0.4642797	No	
row_50	TICAM2	7402	0.03311314061284065	0.4507467	No	
row_51	RIOK3	7805	0.008566407486796379	0.42628273	No	
row_52	RNF216	8252	-0.005551435053348541	0.39911887	No	
row_53	ATG5	8403	-0.012910818681120872	0.39004523	No	
row_54	POLR3C	8430	-0.014279871247708797	0.3885403	No	
row_55	RBX1	8802	-0.03783035650849342	0.3661314	No	
row_56	RELB	9222	-0.06399258971214294	0.34094298	No	
row_57	RNF135	9331	-0.07167115062475204	0.33476126	No	
row_58	GPATCH3	9366	-0.07402171194553375	0.33310494	No	
row_59	NLRC3	9374	-0.07435435801744461	0.33309686	No	
row_60	PPM1B	9501	-0.0835462436079979	0.32588443	No	
row_61	PQBP1	9548	-0.08766965568065643	0.3235733	No	
row_62	UFD1	9693	-0.09707087278366089	0.31533948	No	
row_63	PYCARD	9823	-0.10554675757884979	0.30806804	No	
row_64	CUL3	9920	-0.11286860704421997	0.30285	No	
row_65	BANF1	10056	-0.12476217746734619	0.29532093	No	
row_66	POLR3A	10208	-0.13606590032577515	0.2868799	No	
row_67	RNF26	10430	-0.15305288136005402	0.27426624	No	
row_68	DDX56	10465	-0.15559044480323792	0.2730693	No	
row_69	POLR3F	10496	-0.15766070783138275	0.27212793	No	
row_70	ARRDC4	10662	-0.17145468294620514	0.26303253	No	
row_71	NMB	10879	-0.18933835625648499	0.2509281	No	
row_72	DHX9	11103	-0.20994208753108978	0.23851286	No	
row_73	GARIN5A	11319	-0.230147123336792	0.22669922	No	
row_74	GAPDH	11321	-0.230592742562294	0.22793688	No	
row_75	HSP90AA1	11839	-0.2851766347885132	0.1980185	No	
row_76	POLR3B	11866	-0.28779828548431396	0.19805394	No	
row_77	MAVS	12119	-0.31345701217651367	0.18445337	No	
row_78	TLR2	12374	-0.34216973185539246	0.17089257	No	
row_79	HSPD1	12525	-0.35805365443229675	0.16376267	No	
row_80	DHX36	12576	-0.3646143674850464	0.16276729	No	
row_81	RNF125	12672	-0.3772755563259125	0.1590993	No	
row_82	DDX3X	13524	-0.5016735792160034	0.11003433	No	
row_83	POLR3D	13663	-0.5193356275558472	0.10454443	No	
row_84	STING1	13753	-0.5320548415184021	0.10211397	No	
row_85	ATG12	13822	-0.5452183485031128	0.10103813	No	
row_86	G3BP1	14124	-0.6053014993667603	0.086093344	No	
row_87	KLHL22	14489	-0.6878705024719238	0.0677721	No	
row_88	USP22	14686	-0.7426316142082214	0.06000315	No	
row_89	CGAS	14925	-0.8146185278892517	0.050078634	No	
row_90	TRAF3IP1	15370	-0.9868173003196716	0.028562915	No	
row_91	POLA1	15467	-1.0351309776306152	0.028538793	No	
row_92	PTPN11	15488	-1.049049973487854	0.03322721	No	
row_93	TOMM70	15605	-1.10939621925354	0.032401815	No	
row_94	TIRAP	15769	-1.2197774648666382	0.0293322	No	
row_95	SIRPA	15794	-1.247113585472107	0.034892146	No	
row_96	MORC3	15970	-1.394212245941162	0.032073185	No	
