NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OAS2	0	12.394874572753906	0.05321529	Yes	
row_1	MX1	1	12.382448196411133	0.10637723	Yes	
row_2	ISG15	7	11.569695472717285	0.1557455	Yes	
row_3	OAS1	8	11.539039611816406	0.20528641	Yes	
row_4	OAS3	9	11.408218383789062	0.25426567	Yes	
row_5	IFITM1	11	11.304014205932617	0.3027367	Yes	
row_6	IFIT1	12	11.253605842590332	0.35105214	Yes	
row_7	BST2	14	11.059621810913086	0.3984739	Yes	
row_8	RSAD2	19	10.74921989440918	0.44438043	Yes	
row_9	IFIH1	25	10.169872283935547	0.48773882	Yes	
row_10	PLSCR1	32	9.754230499267578	0.5292519	Yes	
row_11	IFIT5	37	9.548986434936523	0.5700054	Yes	
row_12	OASL	46	9.092021942138672	0.60855365	Yes	
row_13	EIF2AK2	47	9.040067672729492	0.6473657	Yes	
row_14	IFITM3	58	8.336878776550293	0.68255013	Yes	
row_15	SHFL	62	7.799966812133789	0.7158554	Yes	
row_16	ADAR	65	7.65090274810791	0.7485816	Yes	
row_17	ZC3HAV1	82	6.904216289520264	0.77725005	Yes	
row_18	ISG20	85	6.756235122680664	0.8061351	Yes	
row_19	N4BP1	124	5.0323805809021	0.82542855	Yes	
row_20	ZNFX1	137	4.722503185272217	0.84497356	Yes	
row_21	IFI16	163	4.027005672454834	0.8607416	Yes	
row_22	APOBEC3G	333	2.3547558784484863	0.8605678	Yes	
row_23	CCL5	415	2.0441155433654785	0.86441505	Yes	
row_24	APOBEC3F	457	1.9231491088867188	0.870177	Yes	
row_25	IFITM2	632	1.5946967601776123	0.8664357	No	
row_26	APOBEC3D	772	1.3977257013320923	0.8639785	No	
row_27	HACD3	1580	0.8525235056877136	0.8185332	No	
row_28	FAM111A	1970	0.7292525768280029	0.79799366	No	
row_29	RNASEL	2478	0.6029703617095947	0.76973176	No	
row_30	PPID	2558	0.5820524096488953	0.76742357	No	
row_31	PDE12	2830	0.5267876386642456	0.75319505	No	
row_32	CXCL8	4053	0.3346360921859741	0.6802737	No	
row_33	STAU1	5119	0.2126631736755371	0.61638206	No	
row_34	APOBEC3B	5467	0.18012414872646332	0.5960406	No	
row_35	LARP1	5759	0.15561898052692413	0.57900155	No	
row_36	PROX1	6346	0.10697490721940994	0.54380304	No	
row_37	TMEM39A	6691	0.08101165294647217	0.52321863	No	
row_38	PPIH	7245	0.04281797260046005	0.48975274	No	
row_39	TRIM6	7715	0.013789472170174122	0.46127355	No	
row_40	RAD23A	7904	0.0019104781094938517	0.44984204	No	
row_41	VAPB	8986	-0.048876602202653885	0.38427362	No	
row_42	TARBP2	9822	-0.10541874170303345	0.33391693	No	
row_43	PKN2	9864	-0.10862239450216293	0.33188844	No	
row_44	APOBEC3C	9929	-0.11371618509292603	0.3284823	No	
row_45	BANF1	10056	-0.12476217746734619	0.32135093	No	
row_46	ILF3	10162	-0.13213716447353363	0.31552902	No	
row_47	SRPK2	10247	-0.1389383226633072	0.31101418	No	
row_48	DDB1	10347	-0.14692673087120056	0.3056209	No	
row_49	TOP2A	10859	-0.1874236911535263	0.2753315	No	
row_50	ADARB1	11077	-0.20797649025917053	0.26302007	No	
row_51	TOP2B	11605	-0.25850245356559753	0.23206225	No	
row_52	MAVS	12119	-0.31345701217651367	0.20219225	No	
row_53	SRPK1	13162	-0.4479338526725769	0.14071023	No	
row_54	DDX3X	13524	-0.5016735792160034	0.120897435	No	
row_55	PPIA	14812	-0.779239296913147	0.04592971	No	
row_56	INPP5K	14900	-0.8090165853500366	0.044109184	No	
row_57	PPIE	14999	-0.8465567827224731	0.041780483	No	
row_58	TNIP1	15711	-1.1792774200439453	0.003579546	No	
row_59	CNOT7	15813	-1.2613043785095215	0.0028489472	No	
row_60	PABPC1	16314	-2.0753705501556396	-0.018665532	No	
row_61	HMGA2	16362	-2.345031261444092	-0.011457463	No	
row_62	NR5A2	16480	-4.553647041320801	9.7346137E-4	No	
