NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OAS2	0	12.394874572753906	0.044842105	Yes	
row_1	MX1	1	12.382448196411133	0.089639254	Yes	
row_2	ISG15	7	11.569695472717285	0.13119131	Yes	
row_3	OAS1	8	11.539039611816406	0.17293718	Yes	
row_4	OAS3	9	11.408218383789062	0.21420977	Yes	
row_5	IFITM1	11	11.304014205932617	0.25504443	Yes	
row_6	IFIT1	12	11.253605842590332	0.29575765	Yes	
row_7	BST2	14	11.059621810913086	0.33570814	Yes	
row_8	RSAD2	19	10.74921989440918	0.37435284	Yes	
row_9	LGALS9	24	10.224085807800293	0.4110977	Yes	
row_10	IFIH1	25	10.169872283935547	0.44789022	Yes	
row_11	PLSCR1	32	9.754230499267578	0.48281336	Yes	
row_12	IFIT5	37	9.548986434936523	0.5171159	Yes	
row_13	OASL	46	9.092021942138672	0.5495214	Yes	
row_14	EIF2AK2	47	9.040067672729492	0.5822265	Yes	
row_15	IFITM3	58	8.336878776550293	0.6117782	Yes	
row_16	TRIM25	60	7.909668922424316	0.64033276	Yes	
row_17	SHFL	62	7.799966812133789	0.6684905	Yes	
row_18	ADAR	65	7.65090274810791	0.696048	Yes	
row_19	ZC3HAV1	82	6.904216289520264	0.720051	Yes	
row_20	ISG20	85	6.756235122680664	0.7443718	Yes	
row_21	N4BP1	124	5.0323805809021	0.7602621	Yes	
row_22	ZNFX1	137	4.722503185272217	0.7766158	Yes	
row_23	TRIM38	147	4.586338043212891	0.79265976	Yes	
row_24	TRIM5	150	4.460233688354492	0.8086741	Yes	
row_25	IFI16	163	4.027005672454834	0.8225117	Yes	
row_26	AXL	223	3.1192033290863037	0.83020073	Yes	
row_27	LAMP3	265	2.781507968902588	0.837765	Yes	
row_28	APOBEC3G	333	2.3547558784484863	0.8422009	Yes	
row_29	CCL5	415	2.0441155433654785	0.84465975	Yes	
row_30	APOBEC3F	457	1.9231491088867188	0.8491187	Yes	
row_31	IFITM2	632	1.5946967601776123	0.84428406	No	
row_32	NECTIN2	649	1.5645115375518799	0.84896904	No	
row_33	APOBEC3D	772	1.3977257013320923	0.8465908	No	
row_34	P4HB	966	1.2111341953277588	0.83921057	No	
row_35	HACD3	1580	0.8525235056877136	0.8049373	No	
row_36	FMR1	1604	0.8442509770393372	0.80658996	No	
row_37	FAM111A	1970	0.7292525768280029	0.7869843	No	
row_38	KPNA2	2130	0.6870704293251038	0.7797802	No	
row_39	RNASEL	2478	0.6029703617095947	0.7608147	No	
row_40	PPID	2558	0.5820524096488953	0.75810605	No	
row_41	PDE12	2830	0.5267876386642456	0.74349654	No	
row_42	TRIM11	3317	0.441100150346756	0.7154744	No	
row_43	CXCL8	4053	0.3346360921859741	0.6718926	No	
row_44	ARK2N	4087	0.3305812478065491	0.6710775	No	
row_45	TRIM62	4291	0.3064236044883728	0.6598148	No	
row_46	CSNK2B	5107	0.21396073698997498	0.61092097	No	
row_47	STAU1	5119	0.2126631736755371	0.61101997	No	
row_48	LGALS1	5317	0.19300341606140137	0.5997126	No	
row_49	APOBEC3B	5467	0.18012414872646332	0.5912839	No	
row_50	FURIN	5636	0.16787460446357727	0.58165294	No	
row_51	LARP1	5759	0.15561898052692413	0.574781	No	
row_52	PROX1	6346	0.10697490721940994	0.5394559	No	
row_53	TMEM39A	6691	0.08101165294647217	0.5187849	No	
row_54	PPIH	7245	0.04281797260046005	0.4852388	No	
row_55	TRIM6	7715	0.013789472170174122	0.4567068	No	
row_56	VPS4A	7737	0.012458188459277153	0.45547208	No	
row_57	RAD23A	7904	0.0019104781094938517	0.4453626	No	
row_58	TSG101	8567	-0.023389417678117752	0.4051035	No	
row_59	SMPD1	8772	-0.03578002750873566	0.39280072	No	
row_60	VAPB	8986	-0.048876602202653885	0.37999687	No	
row_61	TARBP2	9822	-0.10541874170303345	0.32949156	No	
row_62	PKN2	9864	-0.10862239450216293	0.3273859	No	
row_63	APOBEC3C	9929	-0.11371618509292603	0.323897	No	
row_64	BANF1	10056	-0.12476217746734619	0.31666964	No	
row_65	ILF3	10162	-0.13213716447353363	0.31074876	No	
row_66	CD74	10180	-0.1339103877544403	0.3101972	No	
row_67	SRPK2	10247	-0.1389383226633072	0.30667767	No	
row_68	KPNA6	10333	-0.14552749693393707	0.3020241	No	
row_69	DDB1	10347	-0.14692673087120056	0.3017634	No	
row_70	TOP2A	10859	-0.1874236911535263	0.2713	No	
row_71	ADARB1	11077	-0.20797649025917053	0.25882795	No	
row_72	TOP2B	11605	-0.25850245356559753	0.22764665	No	
row_73	MAVS	12119	-0.31345701217651367	0.19751735	No	
row_74	SRPK1	13162	-0.4479338526725769	0.13563614	No	
row_75	TYRO3	13242	-0.45936405658721924	0.13248359	No	
row_76	HLA-DRB1	13434	-0.48988407850265503	0.12261594	No	
row_77	DDX3X	13524	-0.5016735792160034	0.119007036	No	
row_78	PPIA	14812	-0.779239296913147	0.0433936	No	
row_79	INPP5K	14900	-0.8090165853500366	0.041018486	No	
row_80	PPIE	14999	-0.8465567827224731	0.038108822	No	
row_81	TNIP1	15711	-1.1792774200439453	-9.546757E-4	No	
row_82	CNOT7	15813	-1.2613043785095215	-0.0025466946	No	
row_83	HMGB1	15984	-1.409165859222412	-0.007808791	No	
row_84	VPS37B	16194	-1.741653561592102	-0.014244759	No	
row_85	PABPC1	16314	-2.0753705501556396	-0.013988614	No	
row_86	HMGA2	16362	-2.345031261444092	-0.008369056	No	
row_87	NR5A2	16480	-4.553647041320801	9.748684E-4	No	
