NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OAS2	0	12.394874572753906	0.03956003	Yes	
row_1	MX1	1	12.382448196411133	0.0790804	Yes	
row_2	ISG15	7	11.569695472717285	0.11570165	Yes	
row_3	OAS1	8	11.539039611816406	0.15253016	Yes	
row_4	OAS3	9	11.408218383789062	0.18894114	Yes	
row_5	IFITM1	11	11.304014205932617	0.22495851	Yes	
row_6	IFIT1	12	11.253605842590332	0.26087603	Yes	
row_7	BST2	14	11.059621810913086	0.29611337	Yes	
row_8	RSAD2	19	10.74921989440918	0.33017698	Yes	
row_9	STAT1	23	10.348186492919922	0.36302167	Yes	
row_10	LGALS9	24	10.224085807800293	0.3956533	Yes	
row_11	IFIH1	25	10.169872283935547	0.4281119	Yes	
row_12	TRIM14	26	10.135416030883789	0.46046057	Yes	
row_13	PLSCR1	32	9.754230499267578	0.4912875	Yes	
row_14	IFIT5	37	9.548986434936523	0.5215204	Yes	
row_15	OASL	46	9.092021942138672	0.55005074	Yes	
row_16	EIF2AK2	47	9.040067672729492	0.57890344	Yes	
row_17	IFITM3	58	8.336878776550293	0.60490155	Yes	
row_18	TRIM25	60	7.909668922424316	0.6300854	Yes	
row_19	SHFL	62	7.799966812133789	0.6549191	Yes	
row_20	ADAR	65	7.65090274810791	0.679216	Yes	
row_21	TRIM21	72	7.386651515960693	0.7024255	Yes	
row_22	ZC3HAV1	82	6.904216289520264	0.72391206	Yes	
row_23	ISG20	85	6.756235122680664	0.7453535	Yes	
row_24	N4BP1	124	5.0323805809021	0.7590963	Yes	
row_25	ZNFX1	137	4.722503185272217	0.77343667	Yes	
row_26	TRIM38	147	4.586338043212891	0.7875254	Yes	
row_27	TRIM5	150	4.460233688354492	0.80163884	Yes	
row_28	IFI16	163	4.027005672454834	0.8137594	Yes	
row_29	PTX3	166	3.9752135276794434	0.8263248	Yes	
row_30	AXL	223	3.1192033290863037	0.8328631	Yes	
row_31	LAMP3	265	2.781507968902588	0.8392388	Yes	
row_32	APOBEC3G	333	2.3547558784484863	0.84266603	Yes	
row_33	CCL5	415	2.0441155433654785	0.84424746	Yes	
row_34	APOBEC3F	457	1.9231491088867188	0.84788364	Yes	
row_35	IFITM2	632	1.5946967601776123	0.8423558	No	
row_36	NECTIN2	649	1.5645115375518799	0.84637284	No	
row_37	APOBEC3D	772	1.3977257013320923	0.84338945	No	
row_38	P4HB	966	1.2111341953277588	0.835478	No	
row_39	DYNLT1	1077	1.13576340675354	0.8323907	No	
row_40	HACD3	1580	0.8525235056877136	0.80447954	No	
row_41	FMR1	1604	0.8442509770393372	0.80577064	No	
row_42	FAM111A	1970	0.7292525768280029	0.7858257	No	
row_43	KPNA2	2130	0.6870704293251038	0.7783164	No	
row_44	RNASEL	2478	0.6029703617095947	0.7590668	No	
row_45	PPID	2558	0.5820524096488953	0.75610393	No	
row_46	MID2	2757	0.5420358180999756	0.7457519	No	
