NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OAS2	0	12.394874572753906	0.075707726	Yes	
row_1	MX1	1	12.382448196411133	0.15133956	Yes	
row_2	IFI27	6	11.661871910095215	0.22232713	Yes	
row_3	ISG15	7	11.569695472717285	0.29299468	Yes	
row_4	OAS1	8	11.539039611816406	0.36347497	Yes	
row_5	OAS3	9	11.408218383789062	0.4331562	Yes	
row_6	IFITM1	11	11.304014205932617	0.5021402	Yes	
row_7	IFIT1	12	11.253605842590332	0.5708771	Yes	
row_8	STAT1	23	10.348186492919922	0.6334762	Yes	
row_9	OASL	46	9.092021942138672	0.68767375	Yes	
row_10	STAT2	53	8.656085014343262	0.74018055	Yes	
row_11	IFITM3	58	8.336878776550293	0.7908591	Yes	
row_12	SHFL	62	7.799966812133789	0.83831894	Yes	
row_13	SP100	69	7.526268005371094	0.8839248	Yes	
row_14	MYD88	95	6.167307376861572	0.92007595	Yes	
row_15	TRIM56	155	4.283351898193359	0.9426546	Yes	
row_16	IFITM2	632	1.5946967601776123	0.9234799	No	
row_17	TANK	1282	0.9912951588630676	0.8901106	No	
row_18	AZI2	1299	0.9835602045059204	0.89514625	No	
row_19	SETD2	2086	0.6996056437492371	0.8516731	No	
row_20	TYK2	2745	0.544127345085144	0.8150258	No	
row_21	TRAF3	3017	0.48961973190307617	0.80155426	No	
row_22	TBK1	4365	0.2982732355594635	0.7215513	No	
row_23	HDAC4	5319	0.19297218322753906	0.664839	No	
row_24	SIN3A	5611	0.16970834136009216	0.64819854	No	
row_25	IKBKE	6731	0.07808917760848999	0.5807008	No	
row_26	IRAK1	7176	0.04777516797184944	0.5540214	No	
row_27	IFNAR1	7527	0.025492720305919647	0.532916	No	
row_28	SMPD1	8772	-0.03578002750873566	0.4575666	No	
row_29	JAK1	9152	-0.060047995299100876	0.43491066	No	
row_30	TBKBP1	10477	-0.1562686413526535	0.3554375	No	
row_31	MAVS	12119	-0.31345701217651367	0.25766796	No	
row_32	SHMT2	12562	-0.3624700605869293	0.2330322	No	
row_33	CR2	13095	-0.4384936988353729	0.20339367	No	
row_34	IFNAR2	13628	-0.5144944190979004	0.17421934	No	
